,News,Sentiment
0,"Indian Oil Corporation Sep 2023 (quarterly) Net Profit, 13713 crore Vs 910 crore Loss yoy. Revenue 205283 crore Vs 233016 crore yoy",Positive
1,"Indian Oil Corporation: The Department of Central Goods and Service Tax, Mumbai, has appealed against an adjudication order dated Feb 6 favouring the company in a case of excise duty demand of 40.03 billion on the company",Neutral
2,"Indian Oil Corporation board has accorded approval for additional investment of 903.52 crore in Hindustan Urvarak and Rasayan Ltd. (HURL), a Joint Venture of Indian Oil incorporated for setting up of fertilizer plants at Gorakhpur",Positive
3,Indian Oil Corporation's 9 billion plant in Panipat is set to reach 100% capacity utilisation in a few months,Positive
4,"Indian Oil, L&T and ReNew has formed a JV namely 'GH4India Pvt Ltd' for development of Green Hydrogen Business",Positive
5,"The government is considering scaling down the equity infusion plan for Bharat Petroleum Corporation, Indian Oil Corporation, and Hindustan Petroleum Corporation",Positive
6,"The Reserve Bank of India has imposed late submission fees worth 20 billion on ONGC Videsh Ltd, Indian Oil Corporation, GAIL (India), and Oil India for delayed reporting of their overseas investments",Negative
7,Indian Oil Corporation Jun 2023 (quarterly) Net Profit 14735 crore Vs 883 crore yoy. Revenue 225410 crore Vs 255378 crore yoy,Positive
8,Indian Oil Corporation: The Board has approved formation of a Joint Venture Company for battery swapping business in India with 50:50 collaboration between IndianOil and Sun Mobility Pte. Ltd. Singapore,Positive
9,"Indian Oil Corporation: The Board has approved the raising of capital by way of issue of equity shares on right basis upto an amount not exceeding Rs 22,000 crore",Neutral
10,Indian Oil Corporation and Praj Industries has signed a term sheet to advance plans to strengthen biofuels production capacities in India,Positive
11,Indian Oil Corporation: The Board to consider raising of Capital through Right Issue of equity shares to meet the capital expenditure plan for its various projects on 7th July,Positive
12,Indian Oil Corporation Ltd has emerged as the top bidder for Reliance Industries Ltd.'s KG-D6 gas for the second auction in a row,Neutral
13,"NTPC Green Energy Ltd, a wholly owned subsidiary of NTPC Ltd has incorporated a new Company, in 50:50 joint venture with Indian Oil Corporation Ltd, in the name of ‚INDIANOIL NTPC GREEN ENERGY PVT LTD",Positive
14,"AirAsia India, Praj Industries and Indian Oil Corporation join hands to fly first commercial flight in India powered by a blend of indigenous 'Sustainable Aviation Fuel'",Positive
15,Indian Oil Corporation Mar 2023 (quarterly) Net Profit 10290 crore Vs 6646 crore yoy. Revenue 230712 crore Vs 209045 crore yoy,Positive
16,Indian Oil Corporation is planning to build a 10 billion sustainable aviation fuel plant,Neutral
17,3i Infotech has received a Letter of Acceptance from Indian Oil Corporation pertaining to Managed Services for the Data Center (DC) IT Infrastructure. The total contract value is Rs 16.29 crore for a period of 3 years,Neutral
18,Indian Oil & US-based LanzaJet likely to set up India's first green aviation fuel firm,Positive
19,"Varun Beverages June 2023 (Quarterly) Income at Rs 5,612 crore vs Rs 4,955 crore YoY. PAT at Rs 1,005 crore vs Rs 802 crore YoY",Positive
20,"Varun Beverages Ltd has incorporated a Wholly-owned Subsidiary Company i.e. VARUN BEVERAGES SOUTH AFRICA (PTY) LTD in Johannesburg, South Africa inter-alia to explore the business of manufacturing and distribution of beverages",Positive
21,"Varun Beverages March 2023 (Quarterly) Income at Rs 3,893 crore vs Rs 2,827 crore YoY. PAT at Rs 439 crore vs Rs 271 crore YoY",Positive
22,"Varun Beverages has invested 9.80% of Equity Share Capital (5.68% on fully diluted basis) of Lone Cypress Ventures Pvt Ltd, a special purpose vehicle inter-alia engaged to supply solar power to consumers in the state of Uttar Pradesh",Positive
23,"Varun Beverages December 2022 (Quarterly) PAT at Rs 82 crore vs Rs 33 crore YoY. Income at Rs 2,214 crore vs Rs 1,734 crore YoY",Positive
24,Varun Beverages September 2022 (Quarterly) PAT at Rs 395 crore vs Rs 258 crore YoY. Revenue at Rs 3248 crore vs Rs 2440 crore YoY,Positive
25,Varun Beverages June 2022 (Quarterly) PAT at Rs 787 crore vs Rs 308 crore YoY. Revenue at Rs 5018 crore vs Rs 2483 crore YoY,Positive
26,"Varun Beverages has received an award from PepsiCo for the Best Bottler in Africa, Middle East and South Asia (AMESA) sector of the year 2021",Positive
